id,nev,email,telefon,telepules
1000,Zoltán Ede,zoltane@alsips.xyz,3-866210,Szürcsölde
1001,Volák Krisztina,volakk@alsips.tmk,4-564234,Barnamalom
1002,Nagy Zalán,nagyz@frraacku.atp,3-193809,Bolhaugra
1003,Demjéni Dénes,demjend@linkrb.xyz,3-201790,Eperkebordó
1004,Tóth József,tothj@linkrb.tmk,5-373826,Cserépkakasd
1005,Budai Mihály,budaim@linkrb.tgb,6-353447,Miákfalva
1006,Palotás András,palotasa@mnsk.hho,5-771003,Fészekcsók
1007,Hollósi Mónika,hollosim@aaabbbccc.hho,6-530470,Patakfolyta
1008,Biológus Boglárka,biologusb@sctivcr.atp,3-922262,Csipcsicsere
1009,Majer Melinda,majerm@vvvvv.tmk,6-711330,Bolhaugra
1010,Denes András,denesa@linkrb.hho,3-454877,Selyembarkás
1011,Lacza József,laczaj@sctivcr.hho,3-860150,Barnamalom
1012,Bábel Lajos,babell@hjnva.tmk,3-578771,Selyembarkás
1013,Kovács Jenő,kovacsj@alsips.tmk,4-822572,Zöldjekő
1014,Kakas Kázmér,kakask@linkrb.xyz,6-162577,Szálaszőre
1015,Hajdú Imre,hajdui@alsips.xyz,5-718875,Szálaszőre
1016,Kiss Elemér,kisse@aaabbbccc.atp,5-499847,Szürcsölde
1017,Acsai János,acsaij@alsips.hho,4-200595,Barnamalom
1018,Mátraházi Miklós,matrahazim@dede.tgb,6-700569,Barnamalom
1019,Fischer Ildikó,fischeri@hjnva.xyz,4-178190,Fülefoltosd
1020,Kenderesi Kázmér,kenderesik@vvvvv.xyz,5-649286,Szürcsölde
1021,Nagy Zoltán,nagyz@mnsk.xyz,4-676747,Szürcsölde
1022,Dózsa György,dozsag@dede.tgb,6-702485,Eperkebordó
1023,Szaller Tibor,szallert@alsips.tmk,3-804407,Szürcsölde
1024,Zápor József,zaporj@alsips.tmk,4-273904,Karmavér
1025,Elekes Elek,elekese@vvvvv.tmk,5-366094,Karmavér
1026,Hernádi Hugó,hernadih@npassbbi.tgb,4-986566,Szürcsölde
1027,Monty Péter,montyp@mnsk.tgb,6-781118,Patakfolyta
1028,Ladányi Hedvig,ladanyih@mnsk.atp,6-761883,Patakfolyta
1029,Balázsi Gábor,balazsig@alsips.atp,6-635387,Fészekcsók
1030,Szarka Imre,szarkai@linkrb.xyz,5-415547,Karmavér
1031,Gerleházi Levente,gerlehazil@dede.atp,3-962224,Patakfolyta
1032,Cseh Miklós,csehm@npassbbi.atp,3-693920,Zöldjekő
1033,Letkési Lajos,letkesil@dede.tgb,6-476213,Patakfolyta
1034,Kiss Zoltán,kissz@frraacku.hho,3-296874,Cserépkakasd
1035,Bombás Ede,bombase@linkrb.xyz,3-491887,Selyembarkás
1036,Csuka Sándor,csukas@frraacku.xyz,5-528811,Szálaszőre
1037,Somogyi Zoltán,somogyiz@dede.xyz,6-676984,Karmavér
1038,Alam István,alami@aaabbbccc.atp,5-252300,Eperkebordó
1039,Horváth Károly,horvathk@frraacku.tmk,6-846951,Bolhaugra
1040,Sárkány György,sarkanyg@hjnva.hho,6-953255,Patakfolyta
1041,Veroczky Viktor,veroczkyv@dede.atp,4-316831,Eperkebordó
1042,Dékány József,dekanyj@dede.xyz,3-223210,Eperkebordó
1043,Kövér Hajnalka,koverh@dede.hho,6-217341,Szálaszőre
1044,Kiss Róbert,kissr@hjnva.tmk,5-808709,Bolhaugra
1045,Rózsa Anna,rozsaa@frraacku.xyz,3-580618,Karmavér
1046,Csukó Sándor,csukos@linkrb.xyz,5-734102,Fészekcsók
1047,Szedő András,szedoa@sctivcr.tmk,4-948597,Karmavér
1048,Kiss Béla,kissb@mnsk.atp,4-845245,Szálaszőre
1049,Tisza Tamás,tiszat@aaabbbccc.tgb,6-647803,Barnamalom
1050,Kovalcsik Emil,kovalcsike@frraacku.xyz,3-263770,Selyembarkás
1051,Farkas Zoltán,farkasz@sctivcr.hho,6-297640,Karmavér
1052,Simon Klaudia,simonk@hjnva.atp,3-201883,Vonatfüttyösd
1053,Bádog Ferenc,badogf@aaabbbccc.tmk,4-909908,Patakfolyta
1054,Nyugodt Emma,nyugodte@frraacku.tmk,6-382991,Karmavér
1055,Farmosi Fanni,farmosif@hjnva.atp,5-704535,Szálaszőre
1056,Adonyi Amália,adonyia@vvvvv.tgb,3-992484,Eperkebordó
1057,Fizikus Ferenc,fizikusf@aaabbbccc.atp,5-400538,Cserépkakasd
1058,Erős Erzsébet,erose@mnsk.tgb,5-587197,Szürcsölde
1059,Kispéter Erzsébet,kispetere@aaabbbccc.tgb,6-644402,Szürcsölde
1060,Kondorosi Rita,kondorosir@linkrb.xyz,6-334576,Miákfalva
1061,Kiss Csaba,kissc@sctivcr.xyz,4-119493,Miákfalva
1062,Nagykátai Noémi,nagykatain@hjnva.hho,4-323828,Fészekcsók
1063,Kovács Antal,kovacsa@vvvvv.atp,3-942281,Patakfolyta
1064,Körmendi András,kormendia@dede.hho,6-440552,Kacagvár
1065,Monori Márton,monorim@hjnva.hho,4-165094,Karmavér
1066,Kovács Mária,kovacsm@alsips.xyz,5-290209,Szálaszőre
1067,Józsa László,jozsal@sctivcr.tgb,4-418069,Szürcsölde
1068,Mattel Ferenc,mattelf@npassbbi.hho,6-741774,Cserépkakasd
1069,Nagy Géza,nagyg@aaabbbccc.hho,5-103110,Patakfolyta
1070,Kiss Imre,kissi@npassbbi.xyz,6-928938,Barnamalom
1071,Esztergom Eszter,esztergome@aaabbbccc.atp,4-640842,Tamásuta
1072,Baksa Zsolt,baksaz@mnsk.tgb,3-267429,Vonatfüttyösd
1073,Velencei Viktor,velenceiv@sctivcr.tgb,4-315663,Fülefoltosd
1074,Elek Tivadar,elekt@dede.tmk,3-507024,Szürcsölde
1075,Nagy Péter,nagyp@vvvvv.hho,4-122949,Zöldjekő
1076,Ábrahám Aladár,abrahama@frraacku.xyz,4-845462,Karmavér
1077,Holló Zsolt,holloz@sctivcr.hho,6-479306,Fülefoltosd
1078,Péceli Panna,pecelip@sctivcr.tgb,4-873693,Karmavér
1079,Fekete Gyula,feketeg@dede.hho,3-202668,Barnamalom
1080,Vezér Előd,vezere@dede.tmk,4-544188,Patakfolyta
1081,Kovács János,kovacsj@frraacku.tgb,6-457095,Szürcsölde
1082,Balog Tamás,balogt@npassbbi.tgb,4-975803,Selyembarkás
1083,Kiss Miklós,kissm@hjnva.hho,4-108103,Fészekcsók
1084,Farkas Róbert,farkasr@linkrb.tgb,4-849205,Patakfolyta
1085,Gombos Gábor,gombosg@dede.tmk,3-424173,Barnamalom
1086,Messzefalvi Béla,messzefalvib@mnsk.tgb,4-835501,Tamásuta
1087,Mihályi Tibor,mihalyit@frraacku.atp,5-686209,Barnamalom
1088,Szabó Tihamér,szabot@npassbbi.tgb,6-739521,Patakfolyta
1089,Kovács József,kovacsj@dede.xyz,6-150209,Zöldjekő
1090,Sugár Géza,sugarg@dede.hho,3-380207,Vonatfüttyösd
1091,Simon Viktória,simonv@frraacku.tgb,3-124520,Miákfalva
1092,Nagy József,nagyj@dede.tmk,6-237287,Vonatfüttyösd
1093,Csendes Dalma,csendesd@aaabbbccc.tmk,3-239277,Fészekcsók
1094,Borbély Balázs,borbelyb@hjnva.atp,6-612289,Szürcsölde
1095,Toldi Miklós,toldim@sctivcr.hho,6-707385,Bolhaugra
1096,Tapsi Teréz,tapsit@dede.hho,6-174796,Barnamalom
1097,Nagy Tibor,nagyt@sctivcr.hho,4-329459,Barnamalom
1098,Bagoly Balázs,bagolyb@linkrb.xyz,3-459007,Bolhaugra
1099,Dunavölgye Iván,dunavolgyei@npassbbi.tgb,5-525837,Miákfalva
1100,Karap Endre,karape@linkrb.hho,5-266755,Patakfolyta
1101,Pápai Petrik,papaip@dede.hho,3-351376,Zöldjekő
1102,Karcagi Katalin,karcagik@mnsk.tgb,6-967566,Eperkebordó
1103,Kiss Péter,kissp@alsips.atp,4-487833,Fészekcsók
1104,Francia Ferenc,franciaf@aaabbbccc.hho,4-555403,Karmavér
1105,Józsa Erzsébet,jozsae@sctivcr.xyz,3-651105,Miákfalva
1106,Balázs Ernő,balazse@vvvvv.xyz,5-608841,Patakfolyta
1107,Piszter Emese,pisztere@alsips.xyz,4-718701,Patakfolyta
1108,Fábian Sándor,fabians@linkrb.tgb,3-590837,Szálaszőre
1109,Zirci Zoltán,zirciz@mnsk.xyz,4-320412,Cserépkakasd
1110,Buga Jakab,bugaj@linkrb.tgb,3-681354,Karmavér
1111,Sánta Mária,santam@mnsk.xyz,4-622132,Karmavér
1112,Tóth Virgil,tothv@aaabbbccc.tmk,3-331261,Bolhaugra
1113,Józsa Helga,jozsah@npassbbi.hho,5-564704,Szürcsölde
1114,Péteri Endre,peterie@dede.tmk,3-954722,Barnamalom
1115,Gárdos Csilla,gardosc@dede.hho,3-310234,Szálaszőre
1116,Gábor Áron,gabora@linkrb.hho,6-847938,Szálaszőre
1117,Pergel József,pergelj@mnsk.tmk,3-897027,Szürcsölde
1118,Szabó Béla,szabob@linkrb.tmk,5-670671,Tamásuta
1119,Ladányi Gábor,ladanyig@dede.hho,4-259981,Cserépkakasd
1120,Langyos Ferenc,langyosf@frraacku.tmk,4-157201,Barnamalom
1121,Antal Lajos,antall@aaabbbccc.tgb,6-885056,Karmavér
1122,Kiss Ede,kisse@hjnva.atp,6-708210,Zöldjekő
1123,Dávid Ede,davide@frraacku.hho,3-273601,Szálaszőre
1124,Dobó Katalin,dobok@frraacku.tmk,6-170409,Szürcsölde
1125,Szabó Péter,szabop@npassbbi.hho,5-990271,Barnamalom
1126,Farkas Zsolt,farkasz@frraacku.xyz,6-133335,Eperkebordó
1127,Dienes Imre,dienesi@hjnva.hho,3-715613,Eperkebordó
1128,Kocka András,kockaa@npassbbi.tgb,6-669687,Eperkebordó
1129,Asztalos Attila,asztalosa@hjnva.xyz,6-711495,Szürcsölde
1130,Debreceni Endre,debrecenie@vvvvv.hho,5-759279,Eperkebordó
1131,Hollós Noémi,hollosn@linkrb.tgb,5-294867,Szálaszőre
1132,Szekeres György,szekeresg@aaabbbccc.xyz,4-117756,Barnamalom
1133,Jánosházi János,janoshazij@aaabbbccc.tgb,3-285052,Barnamalom
1134,Gombos Katalin,gombosk@aaabbbccc.atp,5-503416,Karmavér
1135,Bombás Albert,bombasa@vvvvv.atp,5-983794,Bolhaugra
1136,Szőcs Gyula,szocsg@mnsk.hho,6-672302,Szürcsölde
1137,Gárdonyi Gizella,gardonyig@npassbbi.hho,5-672126,Csipcsicsere
1138,Horváth Zoltán,horvathz@dede.atp,4-510518,Barnamalom
1139,Feskó István,feskoi@linkrb.tmk,6-311101,Fülefoltosd
1140,Tilli Anikó,tillia@sctivcr.atp,5-934881,Barnamalom
1141,Molnár József,molnarj@mnsk.xyz,4-297768,Szálaszőre
1142,Közepes Tamás,kozepest@mnsk.xyz,6-623336,Szálaszőre
1143,Földesi Fábián ,foldesif@sctivcr.atp,5-784028,Szálaszőre
1144,Fertődi Friderika,fertodif@sctivcr.hho,5-847572,Szálaszőre
1145,Pomázi Petra,pomazip@mnsk.atp,3-158929,Csipcsicsere
1146,Szendrő Zoltán,szendroz@alsips.hho,5-579650,Zöldjekő
1147,Kovács Krisztina,kovacsk@aaabbbccc.atp,5-343503,Eperkebordó
1148,Szabóka Sándor,szabokas@frraacku.tmk,3-721779,Szürcsölde
1149,Matelka Márta,matelkam@frraacku.tmk,4-293170,Barnamalom
1150,Kovács Géza,kovacsg@npassbbi.xyz,3-402951,Barnamalom
1151,Gall Zsuzsa,gallz@alsips.xyz,5-840121,Cserépkakasd
1152,Borbély Zsuzsa,borbelyz@npassbbi.atp,5-445317,Barnamalom
1153,Csukardi Sándor,csukardis@frraacku.atp,6-194384,Patakfolyta
1154,Orosházi Olga,oroshazio@aaabbbccc.tgb,6-477693,Zöldjekő
1155,Sas Tamás,sast@mnsk.atp,4-385487,Karmavér
1156,Kovács János,kovacsj@aaabbbccc.hho,5-882437,Szürcsölde
1157,Fülöp ágnes,fulopa@frraacku.xyz,3-764273,Csipcsicsere
1158,Laczó Jolán,laczoj@linkrb.xyz,3-961391,Kacagvár
1159,Kób Máté,kobm@alsips.atp,6-335981,Selyembarkás
1160,Kőbér Máté,koberm@dede.tgb,4-728653,Kacagvár
1161,Sziráki Szilvia,szirakis@linkrb.tmk,4-779178,Vonatfüttyösd
1162,Szente Mária,szentem@sctivcr.tmk,4-539708,Karmavér
1163,Győri Marianna,gyorim@linkrb.atp,6-366164,Karmavér
1164,Nagy Zoltán,nagyz@aaabbbccc.tmk,4-438572,Karmavér
1165,Vilmos Zoltán,vilmosz@sctivcr.xyz,6-446578,Cserépkakasd
1166,Csókosdi Sarolta,csokosdis@aaabbbccc.tgb,3-816877,Eperkebordó
1167,Tóth Ottó,totho@vvvvv.hho,5-889795,Szürcsölde
1168,Szatymaz Péter,szatymazp@aaabbbccc.tgb,3-623660,Karmavér
1169,Katona Lajos,katonal@linkrb.xyz,5-445595,Eperkebordó
1170,Tibeti Tódor,tibetit@linkrb.hho,3-760961,Karmavér
1171,Nagy Béla,nagyb@aaabbbccc.tmk,6-538278,Csipcsicsere
1172,Bábel Lajos,babell@hjnva.tmk,4-273860,Csipcsicsere
1173,Helmai Gábor,helmaig@mnsk.tmk,6-478218,Szürcsölde
1174,Kiss István,kissi@npassbbi.hho,6-438513,Karmavér
1175,Farkas Sándor,farkass@dede.xyz,6-679492,Fülefoltosd
1176,Kiss Iván,kissi@sctivcr.tgb,3-901931,Miákfalva
1177,Farkas Rozália,farkasr@sctivcr.xyz,4-863196,Eperkebordó
1178,Fehér Endre,fehere@aaabbbccc.hho,4-690821,Szürcsölde
1179,Tavaszi Terézia,tavaszit@frraacku.tgb,5-553831,Karmavér
1180,Havasi Gyula,havasig@mnsk.xyz,6-152187,Barnamalom
1181,Szepezdi Szilárd,szepezdis@frraacku.xyz,6-818088,Barnamalom
1182,Major Károly,majork@mnsk.tgb,5-952346,Szálaszőre
1183,Lellei Lilla,lelleil@vvvvv.tmk,5-405673,Patakfolyta
1184,Csató Zsolt,csatoz@vvvvv.tgb,3-725428,Zöldjekő
1185,Mezei Sándor,mezeis@linkrb.hho,3-397383,Eperkebordó
1186,Etyeki Elek,etyekie@linkrb.tgb,3-139881,Eperkebordó
1187,Eke Erika,ekee@frraacku.hho,5-461776,Patakfolyta
1188,Dobos Zsuzsa,dobosz@npassbbi.atp,5-482737,Szálaszőre
1189,Geiger Zsuzsa,geigerz@aaabbbccc.xyz,5-844403,Karmavér
1190,Tottosik Szilvia,tottosiks@aaabbbccc.tgb,3-915235,Patakfolyta
1191,Wendel Vera,wendelv@npassbbi.tgb,6-316530,Karmavér
1192,Soproni Sámuel,sopronis@vvvvv.tgb,3-379056,Selyembarkás
1193,Gombai Gáspár,gombaig@sctivcr.hho,6-855094,Patakfolyta
1194,Bíró Lajos,birol@mnsk.hho,4-606946,Eperkebordó
1195,Kiss Pál,kissp@dede.tgb,3-639990,Tamásuta
1196,Egér Elemér,egere@dede.hho,4-137066,Fülefoltosd
1197,Papp Etelka,pappe@mnsk.atp,5-791035,Barnamalom
1198,Deák Dénes,deakd@hjnva.atp,5-405072,Karmavér
1199,Kar Tibor,kart@aaabbbccc.tmk,3-890431,Karmavér
1200,Sárga Sándor,sargas@frraacku.xyz,5-143588,Selyembarkás
1201,Fizikus Dénes,fizikusd@npassbbi.tmk,6-380508,Tamásuta
1202,Magyar Teodóra,magyart@hjnva.xyz,5-286634,Szálaszőre
1203,Déri András,deria@npassbbi.xyz,6-631861,Karmavér
1204,Tilli Noémi,tillin@alsips.atp,5-549639,Zöldjekő
1205,Nagyobb Mihály,nagyobbm@frraacku.xyz,4-449593,Csipcsicsere
1206,Szabó Marcell,szabom@linkrb.tmk,4-871075,Kacagvár
1207,Csekő Kálmán,csekok@vvvvv.atp,6-145267,Kacagvár
1208,Fejér Krisztina,fejerk@frraacku.atp,6-485026,Eperkebordó
1209,Elme Géza,elmeg@aaabbbccc.hho,4-872609,Szálaszőre
